scenario,feedback_case,initial_case,sigma_xl,sigma_hm,phi,eta,d_cd,d_ai,initial_capital,initial_capability,requested_horizon,step,last_year,stop_reason,terminal_capability_growth,terminal_output_per_capita_growth,terminal_consumption_per_capita_growth,terminal_wage_growth,terminal_capital_growth,terminal_net_capital_return,terminal_euler_gap,terminal_ai_production_share,terminal_automated_research_share,tail_capability_growth,tail_output_per_capita_growth,tail_consumption_per_capita_growth,tail_wage_growth,tail_capital_growth,tail_net_capital_return,tail_euler_gap,tail_ai_production_share,tail_automated_research_share,tail_human_research_population_share,tail_consumption_output_ratio,tail_capability_growth_slope,tail_output_per_capita_growth_slope,tail_net_capital_return_slope,low_sigma_theoretical_ai_share,low_sigma_ai_share_gap,low_sigma_fixed_share_capability_growth,low_sigma_fixed_share_capability_growth_gap,low_sigma_optimizing_candidate_capability_growth,low_sigma_optimizing_candidate_research_input_growth,log_scaled_output_capital,max_abs_monopoly_foc_log_error,max_abs_research_mix_log_error,minimum_consumption_output_ratio,max_abs_euler_gap
near_ai_boundary_sigma_2.000_baseline,near_ai_boundary,baseline,2.0,2.0,0.8675,0.45,0.09312499999999996,0.01999999999999995,2.5093528013468305,1.0,2000.0,2.0,146.0,acceleration_cutoff,0.15414784630452258,0.6796174379577433,0.6610705102219256,0.2885423080045939,0.6029517364901794,0.873068629035106,0.17199811881318028,0.9821453993498938,0.807527109347762,0.03561249716617563,0.07256371339201033,0.06428531668056069,0.030626817850859772,0.062110094287865444,0.10848845366667137,0.004203136986110676,0.37737586207611584,0.2897691476274565,0.038832634474614075,0.610034129141873,0.0012971833037737337,0.0067495757173581875,0.008272696871159602,nan,nan,nan,nan,nan,nan,-8.13411592646311,9.992007221626409e-14,9.917234797818253e-07,0.3225706562459716,0.17199811881318028
ai_boundary_sigma_1.000_baseline,ai_boundary,baseline,1.0,2.0,0.8875,0.45,0.07312500000000005,4.163336342344337e-17,2.5093528013468305,1.0,2000.0,2.0,966.0,numerical_failure:ValueError,0.4549340187897821,0.1113704249308758,0.11137042493087712,0.11137042493072968,0.12088505574975299,0.19157778487795563,0.0402073599470785,0.2,0.9999999998765379,0.36464286616087377,0.08944365802778012,0.08944365802778055,0.089443657932951,0.09867812503431082,0.16018416120713613,0.03074050317935556,0.2,0.9999998662525228,1.2749086419940225e-09,0.743502396812515,0.001686386583264396,0.00041355345276179457,0.0005853278102394804,nan,nan,nan,nan,nan,nan,-207.31930985016766,9.947598300641403e-14,9.996394432221223e-07,0.743502396812513,0.0402073599470785
ai_boundary_sigma_1.050_baseline,ai_boundary,baseline,1.05,2.0,0.8875,0.45,0.07312500000000005,4.163336342344337e-17,2.5093528013468305,1.0,2000.0,2.0,488.0,acceleration_cutoff,0.6131807315733901,0.4725531672607244,0.46333053972653726,0.4465437354396897,0.40050319732722117,0.5868699943552784,0.08353945462874113,0.5396313197093239,0.9998589355162374,0.11997729099516341,0.08033066015484533,0.07892709861063232,0.07605709993877119,0.0750554433990919,0.12678911049731656,0.007862011886684218,0.3758067306550329,0.9394655710522458,0.0007760862464235639,0.6892086916257276,0.00564708256664326,0.004503988781216943,0.005209442316080715,nan,nan,nan,nan,nan,nan,-46.33105124995218,9.947598300641403e-14,9.953829334108377e-07,0.6228117568917528,0.08353945462874113
ai_boundary_sigma_2.000_baseline,ai_boundary,baseline,2.0,2.0,0.8875,0.45,0.07312500000000005,4.163336342344337e-17,2.5093528013468305,1.0,2000.0,2.0,142.0,acceleration_cutoff,0.15663932087049814,0.6785055999328331,0.6586038210454097,0.28732780119811663,0.5998028490996763,0.8686170914954988,0.17001327045008907,0.9807645663444072,0.7960699631684309,0.03646967154427314,0.07128608604768512,0.06298779944197436,0.03000748839156643,0.060928586581583635,0.10681817294348295,0.00383037350150858,0.3638874091331346,0.2844154885270888,0.038652205253940135,0.6157015694476146,0.0013198150297623623,0.006739245306956688,0.00822235817080666,nan,nan,nan,nan,nan,nan,-8.131974144245468,9.85878045867139e-14,9.879198867857042e-07,0.32334195565656654,0.17001327045008907
negative_ai_denominator_sigma_1.000_baseline,negative_ai_denominator,baseline,1.0,2.0,0.9075,0.45,0.053125000000000026,-0.019999999999999976,2.5093528013468305,1.0,2000.0,2.0,744.0,acceleration_cutoff,0.5037334489382554,0.11913599499649453,0.11913599499649408,0.11913599346628168,0.12420223303087884,0.19626723145422842,0.037131236457734335,0.2,0.9999988067022795,0.30635876704008386,0.07332062922468799,0.07332062922468828,0.07332045394652954,0.08007055340314677,0.13387890053415308,0.02055827130946478,0.2,0.9996418773800889,3.417101828933117e-06,0.743502396812515,0.003191255040994374,0.0007496753403794099,0.0010074465380709198,nan,nan,nan,nan,nan,nan,-132.87352689434186,9.992007221626409e-14,9.908038167694144e-07,0.7435023968125132,0.037131236457734335
negative_ai_denominator_sigma_1.050_baseline,negative_ai_denominator,baseline,1.05,2.0,0.9075,0.45,0.053125000000000026,-0.019999999999999976,2.5093528013468305,1.0,2000.0,2.0,452.0,acceleration_cutoff,0.6116391194769359,0.4430074254381364,0.43439562667960097,0.41853376299789424,0.3699552029479465,0.5436847270290566,0.06928910034945557,0.5223973236488827,0.9997158450030372,0.12044112629553773,0.07603599548938537,0.07472328987889061,0.07197482460860978,0.07132254209908344,0.12151196075904641,0.006788670880155808,0.3628250219016141,0.9179226841386606,0.001075820993279118,0.6936964884020381,0.005626993343836789,0.004217227177801708,0.004788138928049855,nan,nan,nan,nan,nan,nan,-45.070670043643744,9.947598300641403e-14,9.905864972736822e-07,0.6309938662146503,0.06928910034945557
negative_ai_denominator_sigma_2.000_baseline,negative_ai_denominator,baseline,2.0,2.0,0.9075,0.45,0.053125000000000026,-0.019999999999999976,2.5093528013468305,1.0,2000.0,2.0,138.0,acceleration_cutoff,0.1541958460692801,0.6586319853584137,0.6370369467580379,0.2780730768802874,0.5762910101085904,0.8353787374629995,0.15834179070496157,0.9781079717889519,0.7774199188509049,0.03712617230648715,0.06891865122751738,0.060620578561875235,0.02893147413699277,0.058936565248078596,0.10400208057621065,0.003381502014335405,0.34964308839749764,0.27854320519187364,0.03840071731947629,0.6217032757700346,0.001293808480291932,0.006540749427907883,0.007882195413889216,nan,nan,nan,nan,nan,nan,-8.127842932603023,9.50350909079134e-14,9.788799546495142e-07,0.3248246424732519,0.15834179070496157
stable_sigma_0.750_low_capital,stable,low_capital,0.75,2.0,0.65,0.45,0.310625,0.2375,1.2546764006734152,1.0,2000.0,2.0,2000.0,horizon,0.015428485094740152,2.230854390106174e-15,1.8318679906315083e-15,1.7763568394002505e-15,0.012000000000002793,0.03764852255054828,-0.0023514774494535554,0.33222591362127757,0.12659992451356003,0.015428456900068725,3.798228071929924e-15,3.521964854834167e-15,4.284154730318251e-15,0.012000000000004882,0.03764852255055123,-0.0023514774494522933,0.3322259136213019,0.12659992451355276,0.07302967557337167,0.761458396812506,6.181502279316298e-10,-4.4408920985006264e-17,-9.034439862887211e-17,0.33222591362126247,1.509903313490213e-14,0.01542857142857143,-8.633383127842897e-08,0.00675,0.0052499999999999995,-64.38422332213021,0.12329441499079863,9.99352305353085e-07,0.7177324788156043,0.003034720285817201
stable_sigma_0.750_high_capital,stable,high_capital,0.75,2.0,0.65,0.45,0.310625,0.2375,5.018705602693661,1.0,2000.0,2.0,2000.0,horizon,0.015428495565077404,2.230854390106174e-15,1.8318679906315083e-15,1.7763568394002505e-15,0.012000000000002793,0.03764852255054828,-0.0023514774494535554,0.33222591362127757,0.12659992451356003,0.015428470789756015,3.798228071929924e-15,3.521964854834167e-15,4.284154730318251e-15,0.012000000000004882,0.03764852255055123,-0.0023514774494522933,0.3322259136213019,0.12659992451355276,0.07302967557337167,0.761458396812506,5.431832478773601e-10,-4.4408920985006264e-17,-9.034439862887211e-17,0.33222591362126247,1.509903313490213e-14,0.01542857142857143,-7.586349402670389e-08,0.00675,0.0052499999999999995,-64.38421938545072,0.12329637500649326,9.978843347191457e-07,0.7267775369240682,0.034826941608995354
stable_sigma_0.750_low_capability,stable,low_capability,0.75,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,0.5,2000.0,2.0,2000.0,horizon,0.01542853055711132,2.230854390106174e-15,1.8318679906315083e-15,1.7763568394002505e-15,0.012000000000002793,0.03764852255054828,-0.0023514774494535554,0.33222591362127757,0.12659992451356003,0.015428517209361628,3.798228071929924e-15,3.521964854834167e-15,4.284154730318251e-15,0.012000000000004882,0.03764852255055123,-0.0023514774494522933,0.3322259136213019,0.12659992451355276,0.07302967557337167,0.761458396812506,2.9264113656640724e-10,-4.4408920985006264e-17,-9.034439862887211e-17,0.33222591362126247,1.509903313490213e-14,0.01542857142857143,-4.0871460110433744e-08,0.00675,0.0052499999999999995,-64.38420622902456,0.12330292540063681,9.966714449305414e-07,0.7058641432560067,0.0322219471920718
stable_sigma_0.750_high_capability,stable,high_capability,0.75,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,2.0,2000.0,2.0,2000.0,horizon,0.01542843104881255,2.230854390106174e-15,1.8318679906315083e-15,1.7763568394002505e-15,0.012000000000002793,0.03764852255054828,-0.0023514774494535554,0.33222591362127757,0.12659992451356003,0.015428385204201797,3.798228071929924e-15,3.521964854834167e-15,4.284154730318251e-15,0.012000000000004882,0.03764852255055123,-0.0023514774494522933,0.3322259136213019,0.12659992451355276,0.07302967557337167,0.761458396812506,1.0051130201749192e-09,-4.4408920985006264e-17,-9.034439862887211e-17,0.33222591362126247,1.509903313490213e-14,0.01542857142857143,-1.4037975887976062e-07,0.00675,0.0052499999999999995,-64.38424364257776,0.12328429773450367,9.966569214370224e-07,0.7350178472062873,0.00909243557557355
stable_sigma_1.050_low_capital,stable,low_capital,1.05,2.0,0.65,0.45,0.310625,0.2375,1.2546764006734152,1.0,2000.0,2.0,1086.0,acceleration_cutoff,0.43704155808072037,0.6162815894438283,0.6047440981874157,0.5834053913355568,0.567716471756933,0.8232570339456486,0.1785129357582329,0.688087627172052,0.9999999315240397,0.09451963051418903,0.11485061739713738,0.11275015289185823,0.10891351992869312,0.10816228069160676,0.1735917778361906,0.02084162494433236,0.5252285077943445,0.9994144991262693,8.431272790788796e-06,0.6280856283615845,0.003940639192879445,0.005809340117418209,0.007400583373108291,nan,nan,nan,nan,nan,nan,-55.761255720582774,9.947598300641403e-14,9.980481809890307e-07,0.5420726485190004,0.1785129357582329
stable_sigma_1.050_high_capital,stable,high_capital,1.05,2.0,0.65,0.45,0.310625,0.2375,5.018705602693661,1.0,2000.0,2.0,1086.0,acceleration_cutoff,0.43586071248271335,0.6146404250125479,0.603133135977485,0.5818535579350961,0.5660372681330575,0.8208831675473552,0.17775003156987024,0.6879039664429758,0.9999999308059369,0.09445288320768445,0.11473465451184645,0.11263636394684605,0.1088038065608433,0.10806996704103988,0.1734612753348449,0.020824911387998832,0.5251860617263296,0.9994139654699596,8.438624661930046e-06,0.6281069764385673,0.00392884494297226,0.005792968206575582,0.007376890909271799,nan,nan,nan,nan,nan,nan,-55.75090366611841,9.947598300641403e-14,9.947128223330992e-07,0.5421838893806386,0.17775003156987024
stable_sigma_1.050_low_capability,stable,low_capability,1.05,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,0.5,2000.0,2.0,1086.0,acceleration_cutoff,0.42910460774154136,0.605228865823229,0.59389485257425,0.5729542208753067,0.5564372644092908,0.8073117781462602,0.17341692557201016,0.6868401399251065,0.999999926503583,0.09406782972910051,0.11406540740879048,0.11197966784266757,0.10817062077537097,0.10753771842756464,0.17270884300257583,0.020729175159908263,0.5249385402269494,0.9994108370601847,8.481724236449313e-06,0.628231385275607,0.0038613666539884443,0.005699084536312169,0.007241446666115005,nan,nan,nan,nan,nan,nan,-55.69088630266285,9.947598300641403e-14,9.99899484765976e-07,0.5428276815594267,0.17341692557201016
stable_sigma_1.050_high_capability,stable,high_capability,1.05,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,2.0,2000.0,2.0,1086.0,acceleration_cutoff,0.44682809864548007,0.6298395149943947,0.6180526670061433,0.5962252162767889,0.5816479268552419,0.8429517348544556,0.18489906784831234,0.6895845228635449,0.9999999371183377,0.09506666356449671,0.11580042881804871,0.11368216746568248,0.10981213223537135,0.10891941743558052,0.17466213133583622,0.020979963870153738,0.5255713273499528,0.999418780858515,8.372264159033783e-06,0.627913057722045,0.004038389725017292,0.0059445988772043904,0.00759715769537951,nan,nan,nan,nan,nan,nan,-55.84552501460638,9.947598300641403e-14,9.9634535222215e-07,0.5411649497006408,0.18489906784831234
stable_sigma_2.000_low_capital,stable,low_capital,2.0,2.0,0.65,0.45,0.310625,0.2375,1.2546764006734152,1.0,2000.0,2.0,196.0,acceleration_cutoff,0.1310768385177662,0.6701892702575525,0.6612630136384481,0.2900217582676601,0.6066690157505569,0.8783236941170393,0.17706068047859114,0.9913047189866078,0.8957347250461883,0.02675434815691341,0.08415344237092742,0.07635265469929922,0.03649118045694617,0.07379011581055235,0.12500033479283376,0.008647680093534523,0.5285930902340147,0.35662978423850983,0.040765237640376026,0.5451056705913573,0.0011200104742147016,0.00662134546088964,0.008313936621441743,nan,nan,nan,nan,nan,nan,-8.148228054559405,9.947598300641403e-14,9.952474653296406e-07,0.3174434892256955,0.17706068047859114
stable_sigma_2.000_high_capital,stable,high_capital,2.0,2.0,0.65,0.45,0.310625,0.2375,5.018705602693661,1.0,2000.0,2.0,198.0,acceleration_cutoff,0.1943862787686199,0.8939139880694476,0.8863359576491874,0.386064769383057,0.8640344079329101,1.2421575067045338,0.31582154905534643,0.9953170620789675,0.9312905484144804,0.029062050819186152,0.09660523091502705,0.0887623267729244,0.041817753097615304,0.08378255661285931,0.13912650693793022,0.010364180165005819,0.5355328008610903,0.3636391485894574,0.04156110799112064,0.5418087656293332,0.0017517378704415085,0.00886026347901434,0.011962255076700823,nan,nan,nan,nan,nan,nan,-8.154358717414734,9.958700530887654e-14,9.979064439225027e-07,0.3151914564580335,0.31582154905534643
stable_sigma_2.000_low_capability,stable,low_capability,2.0,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,0.5,2000.0,2.0,206.0,acceleration_cutoff,0.11112938289412405,0.5864541167014505,0.5761548713004778,0.25386359056115215,0.5190681925575307,0.7544836501318747,0.13832877883139683,0.987754498256917,0.867478932417375,0.02724013753744552,0.0778772960984393,0.06999558718797512,0.03368755309896107,0.06858308994547957,0.11763923601934824,0.007643648831373135,0.5038373924101307,0.34361245075670505,0.040177808101375626,0.5559709359550209,0.0009011165530610774,0.005792383663404944,0.0070902360436813005,nan,nan,nan,nan,nan,nan,-8.14277752687469,9.914291609902648e-14,9.925989425951798e-07,0.3194330856250584,0.13832877883139683
stable_sigma_2.000_high_capability,stable,high_capability,2.0,2.0,0.65,0.45,0.310625,0.2375,2.5093528013468305,2.0,2000.0,2.0,182.0,acceleration_cutoff,0.10937296894209828,0.5832559882317496,0.5743596158520705,0.25274997240660646,0.5166268159773546,0.7510323106118434,0.13667269475977284,0.9893845662452249,0.8832750852859005,0.024409102324496043,0.07952459387957472,0.07190806616774201,0.03458171242252916,0.07051003030763933,0.12036332433848237,0.00845525817074036,0.548602263048356,0.36415954527912925,0.04054350715304731,0.5365446140859187,0.0009238205525465828,0.00574606225251617,0.007032658460072897,nan,nan,nan,nan,nan,nan,-8.14528315197879,9.85878045867139e-14,9.725351555189832e-07,0.31851992783096383,0.13667269475977284
