scenario,time,population_path_error,labor_productivity_path_error,effective_labor_identity_error,labor_market_error_independent,final_production_log_error_independent,inference_identity_log_error_independent,automated_service_log_error_independent,research_ces_log_error_independent,capability_law_log_error_independent,capital_price_error_independent,net_interest_error_independent,wage_foc_log_error_independent,ai_price_foc_log_error_independent,ai_share_error_independent,research_price_log_error_independent,human_demand_log_error_independent,automated_service_demand_log_error_independent,automated_share_quantity_error_independent,automated_share_expenditure_error_independent,research_scale_foc_log_error_independent,research_compute_foc_log_error_independent,research_human_foc_log_error_independent,resource_constraint_error_independent,profit_shadow_ratio_error_independent,static_max_abs_error,monopoly_foc_log_error_independent,monopoly_soc_margin_independent,rhs_capital_growth,rhs_capability_growth,rhs_consumption_growth,rhs_shadow_growth,stored_capital_rate_error,stored_capability_rate_error,stored_consumption_rate_error,stored_shadow_rate_error,ai_share_independent,automated_research_share_independent,inference_output_share_independent,research_output_share_independent,human_population_share_independent,profit_shadow_ratio_independent,net_interest_rate_independent,bounded_exp_min_argument,bounded_exp_max_argument,bounded_exp_clipping_count,fd_capital_growth_residual,fd_capability_growth_residual,fd_consumption_growth_residual,fd_shadow_growth_residual
near_unit_sigma_xl_090_hm_2_T_5000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,2.220446049250313e-16,0.0,0.0,-1.1102230246251565e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,-2.6645352591003757e-15,0.0,6.938893903907228e-17,5.551115123125783e-17,-1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-15,0.0,-3.469446951953614e-18,2.6645352591003757e-15,-8.049116928532385e-16,0.1164077731464658,0.009901434938686567,0.0019423145981191624,0.010899198303373818,0.008646392747281226,0.0,0.0,0.0,3.469446951953614e-18,0.2844571145349391,0.09173382990146933,0.02117060871017131,2.4966556569081612e-05,0.0005153566870423149,0.0302171703647008,0.03889919830337382,-11.909562895843175,0.5131853547466826,0.0,8.643883639761207e-08,-1.0249109547166846e-10,5.588218729077332e-08,4.8167154171468995e-08
near_unit_sigma_xl_090_hm_2_T_5000,22.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,2.6645352591003757e-15,2.220446049250313e-16,0.0,0.0,5.551115123125783e-17,-8.881784197001252e-16,-5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,2.498001805406602e-16,0.0,-1.6653345369377348e-16,-3.3306690738754696e-16,1.5543122344752192e-15,0.0,3.469446951953614e-18,3.552713678800501e-15,6.661338147750939e-16,0.11637097251162265,0.010323172152726788,0.0019437531857805807,0.011166533987261633,0.0088766579198396,0.0,0.0,0.0,-3.469446951953614e-18,0.2844000620176173,0.09200116856576313,0.021157870948435034,2.501220800918599e-05,0.0005146065769591453,0.030254110554522987,0.03916653398726164,-11.904733396705232,0.49565561083477416,0.0,5.976964855512745e-08,-6.775842235386131e-11,3.795033586342922e-08,3.282642295314442e-08
near_unit_sigma_xl_090_hm_2_T_5000,24.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-6.938893903907228e-17,0.0,3.3306690738754696e-16,8.326672684688674e-16,8.881784197001252e-16,0.0,3.469446951953614e-18,8.881784197001252e-16,1.3322676295501878e-15,0.11633057018760368,0.01067964148106229,0.0019452562891652152,0.011392384752460703,0.009070902168835288,0.0,0.0,0.0,-3.469446951953614e-18,0.2843374338517013,0.09229548797828745,0.021143892268880513,2.5068965298789247e-05,0.0005139182966122268,0.03028557490793515,0.03939238475246071,-11.899937076780317,0.47770263119607176,0.0,-9.502171312465724e-08,1.0582522033154851e-10,-6.060018962160407e-08,-5.250000203842198e-08
near_unit_sigma_xl_090_hm_2_T_5000,26.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,1.7763568394002505e-15,-4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,-4.440892098500626e-16,0.0,0.0,-1.7763568394002505e-15,0.0,5.551115123125783e-17,1.3877787807814457e-17,-2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,2.220446049250313e-16,-6.938893903907228e-18,1.7763568394002505e-15,-5.412337245047638e-16,0.11628711565707747,0.010980578791256218,0.0019468129731690508,0.011582976116388997,0.009234515192520026,0.0,0.0,0.0,6.938893903907228e-18,0.28427008387801167,0.09261299755337804,0.021128864257702957,2.513517917159377e-05,0.0005132815490074124,0.030312400886844774,0.039582976116389,-11.895169483707289,0.4593925048749393,0.0,8.783253789904077e-08,-9.781415889927036e-11,5.6093100990473044e-08,4.8593683035780266e-08
near_unit_sigma_xl_090_hm_2_T_5000,28.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,2.7755575615628914e-16,-8.881784197001252e-16,-5.551115123125783e-17,0.0,-8.881784197001252e-16,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,-3.469446951953614e-18,8.881784197001252e-16,1.6653345369377348e-16,0.11624107909785714,0.011234419570068072,0.0019484138927985577,0.011743689764330247,0.00937216137492725,0.0,0.0,0.0,3.469446951953614e-18,0.284198742717645,0.09295045639989466,0.021112950858677856,2.5209444699638267e-05,0.0005126875696443066,0.030335307197284698,0.03974368976433025,-11.89042678259128,0.44078175275758613,0.0,1.07597221792044e-08,-1.1665349242129253e-11,6.706556365809746e-09,5.829736336032676e-09
near_unit_sigma_xl_090_hm_2_T_5000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,-4.440892098500626e-16,-1.1102230246251565e-16,0.0,-8.881784197001252e-16,0.0,0.0,-6.938893903907228e-17,-2.7755575615628914e-16,-1.1102230246251565e-16,4.440892098500626e-16,-1.1102230246251565e-16,-3.469446951953614e-18,1.7763568394002505e-15,-2.498001805406602e-16,0.11619286077503713,0.011448417898431207,0.00195005110073632,0.011879145739268869,0.009487848693059634,0.0,0.0,0.0,3.469446951953614e-18,0.284124032343053,0.09330510601439158,0.021096291631355225,2.529056960345859e-05,0.000512128933382713,0.030354907101271703,0.03987914573926887,-11.885705686310096,0.42191846697257673,0.0,-2.2970371825123403e-08,2.520754677041992e-11,-1.4522810303299605e-08,-1.2604128296622719e-08
near_unit_sigma_xl_090_hm_2_T_5000,32.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,-1.1102230246251565e-16,0.0,-8.881784197001252e-16,0.0,5.551115123125783e-17,-1.3877787807814457e-17,-4.440892098500626e-16,-4.996003610813204e-16,0.0,0.0,-3.469446951953614e-18,8.881784197001252e-16,-8.743006318923108e-16,0.11614279616366052,0.011628701073082233,0.0019517179437360654,0.011993241624462782,0.00958496085593408,0.0,0.0,0.0,3.469446951953614e-18,0.28404647404675604,0.09367463565330895,0.021079003543250385,2.5377557317796585e-05,0.0005115994423601937,0.030371715475073207,0.039993241624462786,-11.881003424694887,0.40284293537439014,0.0,-5.614200377732775e-07,5.986077575466375e-10,-3.5640512932241797e-07,-3.09865019986616e-07
near_unit_sigma_xl_090_hm_2_T_5000,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-4.440892098500626e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,-1.7763568394002505e-15,0.0,6.938893903907228e-17,0.0,4.440892098500626e-16,3.3306690738754696e-16,1.3322676295501878e-15,2.220446049250313e-16,3.469446951953614e-18,1.7763568394002505e-15,8.881784197001252e-16,0.11609117538331874,0.011780610046589972,0.001953408664708705,0.012089369564551151,0.009666444657770952,0.0,0.0,0.0,-3.469446951953614e-18,0.2839665185866495,0.09405704257797019,0.02106118770774867,2.546954567704308e-05,0.0005110937585047087,0.030386178538390464,0.040089369564551156,-11.876317588366067,0.3835899894863265,0.0,-2.904338396968187e-07,3.107317237717455e-10,-1.843319721236969e-07,-1.6022788239603014e-07
near_unit_sigma_xl_090_hm_2_T_5000,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,5.551115123125783e-17,-4.440892098500626e-16,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,2.220446049250313e-16,-1.1102230246251565e-16,4.440892098500626e-16,0.0,-6.938893903907228e-18,8.881784197001252e-16,-1.6792123247455493e-15,0.11603822197740758,0.011908269342256202,0.0019551188479304494,0.012170149723303388,0.00973457726449303,0.0,0.0,0.0,6.938893903907228e-18,0.2838845133590106,0.09445079336246864,0.021042922089810366,2.5565875051517445e-05,0.0005106077790288444,0.030398639953549373,0.04017014972330339,-11.871646318015665,0.36418644427061353,0.0,7.354072910966541e-07,-7.843269055063384e-10,4.663064202877626e-07,4.0546614531698777e-07
near_unit_sigma_xl_090_hm_2_T_5000,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,-2.6645352591003757e-15,0.0,2.3592239273284576e-16,0.0,-2.7755575615628914e-16,5.551115123125783e-17,1.5543122344752192e-15,2.220446049250313e-16,3.469446951953614e-18,2.6645352591003757e-15,1.4016565685892601e-15,0.11598415095667527,0.01201568182413252,0.0019568442234279724,0.012238119438138233,0.009791565040162944,0.0,0.0,0.0,-3.469446951953614e-18,0.2838007923343859,0.09485439704177553,0.021024281561274335,2.566590504197183e-05,0.0005101375781838954,0.030409431342191706,0.04023811943813824,-11.866987805395944,0.3446580964637583,0.0,-8.345894360849149e-08,8.48268837984334e-11,-5.2785120495044136e-08,-4.603816402236338e-08
near_unit_sigma_xl_090_hm_2_T_5000,40.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,-8.881784197001252e-16,0.0,0.0,-1.3877787807814457e-17,3.885780586188048e-16,2.7755575615628914e-16,8.881784197001252e-16,0.0,-3.469446951953614e-18,8.881784197001252e-16,1.3877787807814457e-16,0.11592914108063565,0.012106187989620328,0.001958581241500623,0.01229539474515904,0.009839248576970504,0.0,0.0,0.0,3.469446951953614e-18,0.28371563314945725,0.09526661288346848,0.021005328352201626,2.576910283574877e-05,0.0005096799018049699,0.030418828688001564,0.040295394745159044,-11.862340543033955,0.32502638626154196,0.0,-3.239164644182335e-07,3.4270745269404657e-10,-2.0516170387736843e-07,-1.7850661102741805e-07
near_unit_sigma_xl_090_hm_2_T_5000,42.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,-4.440892098500626e-16,0.0,0.0,-1.7763568394002505e-15,0.0,8.326672684688674e-17,0.0,1.1102230246251565e-16,4.440892098500626e-16,1.3322676295501878e-15,0.0,0.0,1.7763568394002505e-15,4.0245584642661925e-16,0.11587332149078147,0.01218219953408134,0.0019603273572707048,0.012343504449265734,0.009878958012206784,0.0,0.0,0.0,0.0,0.28362923646132254,0.09568655525636496,0.02098610747872466,2.5875087774680318e-05,0.0005092324027395681,0.030427031042660542,0.04034350444926574,-11.857703447334313,0.3053067832959102,0.0,4.38777558550707e-07,-4.6294947085925853e-10,2.7774800052081383e-07,2.417258833237179e-07
near_unit_sigma_xl_090_hm_2_T_5000,44.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,4.440892098500626e-16,0.0,-3.469446951953614e-18,4.440892098500626e-16,-2.498001805406602e-16,0.11581681838899499,0.012246087423786807,0.0019620800673704527,0.012383949281629343,0.00991199943070244,0.0,0.0,0.0,3.469446951953614e-18,0.28354179823998493,0.09611334692887394,0.02096666284765657,2.598348301082148e-05,0.000508792798664071,0.030434233434483423,0.04038394928162935,-11.8530754456471,0.2855144098289929,0.0,3.5826769511151935e-08,-3.9858607733811446e-11,2.2691518098555408e-08,1.970744946747094e-08
near_unit_sigma_xl_090_hm_2_T_5000,46.0,0.0,0.0,0.0,0.0,5.551115123125783e-16,0.0,0.0,-8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,1.3877787807814457e-17,3.3306690738754696e-16,6.106226635438361e-16,4.440892098500626e-16,-1.1102230246251565e-16,6.938893903907228e-18,8.881784197001252e-16,6.245004513516506e-16,0.11575974110843067,0.012299911552251803,0.0019638371998313147,0.012418032238155081,0.009939507029805159,0.0,0.0,0.0,-6.938893903907228e-18,0.28345348821880256,0.09654622475523997,0.02094703246702742,2.6093960491932638e-05,0.0005083591193839633,0.0304406049948144,0.040418032238155086,-11.848455604482195,0.2656623636217686,0.0,-2.4620550536334773e-07,2.5830741191834594e-10,-1.5574058826427206e-07,-1.3559038082935904e-07
near_unit_sigma_xl_090_hm_2_T_5000,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.220446049250313e-16,3.3306690738754696e-16,6.661338147750939e-16,0.0,6.938893903907228e-18,6.661338147750939e-16,1.1102230246251565e-16,0.11570216636807452,0.01234511509027287,0.001965597246029371,0.012446666768839217,0.009962276061042271,0.0,0.0,0.0,-6.938893903907228e-18,0.28336442556130415,0.09698466192427287,0.02092724305075152,2.6206293110382024e-05,0.0005079299853546384,0.030446264150919864,0.04044666676883922,-11.843843275928515,0.24575981958660142,0.0,2.423793898660015e-07,-2.537726023245368e-10,1.5326946522543905e-07,1.3345693835806194e-07
near_unit_sigma_xl_090_hm_2_T_5000,50.0,0.0,0.0,0.0,0.0,4.996003610813204e-16,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,-8.881784197001252e-16,0.0,-2.7755575615628914e-17,6.938893903907228e-17,5.551115123125783e-17,4.440892098500626e-16,4.440892098500626e-16,0.0,-3.469446951953614e-18,8.881784197001252e-16,-3.316791286067655e-15,0.11564416780034203,0.012383088054046781,0.0019673587496359386,0.012470731909460901,0.009981071916590003,0.0,0.0,0.0,3.469446951953614e-18,0.2832747245703427,0.09742814644676513,0.020907320190947716,2.63202600759478e-05,0.0005075040788258257,0.03045132476959633,0.040470731909460905,-11.839237830627418,0.22581558514743771,0.0,7.1016288715961e-08,-7.577919585236015e-11,4.489830066067846e-08,3.908238956247534e-08
near_unit_sigma_xl_090_hm_2_T_5000,52.0,0.0,0.0,0.0,0.0,-8.326672684688674e-17,0.0,0.0,1.7763568394002505e-15,-4.440892098500626e-16,0.0,0.0,-1.1102230246251565e-16,-4.440892098500626e-16,0.0,0.0,-2.6645352591003757e-15,0.0,8.326672684688674e-17,0.0,1.1102230246251565e-16,5.551115123125783e-17,1.7763568394002505e-15,0.0,6.938893903907228e-18,2.6645352591003757e-15,-1.8041124150158794e-16,0.11558581172177189,0.01241508498691253,0.001969120395395461,0.012491020585148664,0.009996585066046282,0.0,0.0,0.0,-6.938893903907228e-18,0.28318448815186875,0.09787621392694966,0.02088728690857868,2.6435660856679835e-05,0.0005070802181567397,0.030455889509288854,0.04049102058514867,-11.834638698013253,0.20583759110198646,0.0,-1.663988673135386e-07,1.7318915615863184e-10,-1.0517828082957925e-07,-9.159905588716766e-08
near_unit_sigma_xl_090_hm_2_T_5000,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-2.6645352591003757e-15,0.0,2.7755575615628914e-17,-8.326672684688674e-17,1.1102230246251565e-16,1.6653345369377348e-16,1.3322676295501878e-15,2.220446049250313e-16,-6.938893903907228e-18,2.6645352591003757e-15,-9.992007221626409e-16,0.11552714395800567,0.012441970820649309,0.001970881286909796,0.012508079731413428,0.010009291834397915,0.0,0.0,0.0,6.938893903907228e-18,0.28309378745796715,0.09832855030507279,0.020867159141631016,2.6552359037721516e-05,0.0005066575902566806,0.03046002911706247,0.04050807973141343,-11.830045490518224,0.18583130394006436,0.0,1.228771355967634e-07,-1.2754222677990867e-10,7.765303768059173e-08,6.763181575365762e-08
near_unit_sigma_xl_090_hm_2_T_5000,56.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,9.71445146547012e-17,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,0.0,0.0,9.992007221626409e-16,1.0547118733938987e-15,0.11546820736088705,0.012464555869466598,0.0019726405827979764,0.012522421493431975,0.010019638271035292,0.0,0.0,0.0,0.0,0.2830026889904998,0.0987848590825355,0.02084695177053697,2.667022564419528e-05,0.0005062354386571522,0.03046380981799825,0.04052242149343198,-11.825457842337686,0.16580183462377962,0.0,6.902244528185497e-08,-7.275596141179119e-11,4.3611297880288835e-08,3.797973651895048e-08
near_unit_sigma_xl_090_hm_2_T_5000,58.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-5.551115123125783e-17,0.0,-8.881784197001252e-16,0.0,6.938893903907228e-17,1.3877787807814457e-17,3.885780586188048e-16,-1.1102230246251565e-16,6.661338147750939e-16,0.0,3.469446951953614e-18,8.881784197001252e-16,-9.71445146547012e-16,0.11540904179703498,0.012483595164598259,0.0019743974973910152,0.012534522856059584,0.010028039807420182,0.0,0.0,0.0,-3.469446951953614e-18,0.28291125458737276,0.0992448617785142,0.020826678617036166,2.6789139321036953e-05,0.0005058130632425559,0.03046729328729452,0.04053452285605959,-11.820875410270473,0.14575393724932806,0.0,-1.0325635291935642e-07,1.060029368969706e-10,-6.523666242798376e-08,-5.682243654943353e-08
