category,comparison,variable,value,threshold,status,details,path_label
common_calendar_window,"z=16,z=32,z=64",ai_share,9.123191584414769e-07,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",automated_research_share,1.298917472469796e-07,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",capital_growth,3.7376383345555375e-06,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",capability_growth,2.605685888636827e-07,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
common_calendar_window,"z=16,z=32,z=64",consumption_growth,4.5023892949330735e-06,0.0002,pass,"calendar_window=[0,1617.6851]; excludes the last 50 years before the nearest artificial boundary",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_time,event z=16,crossing_time_spread,4.287901742827671e-05,0.02,pass,"boundary 32: t=1667.68549, crossings=1; boundary 64: t=1667.68553, crossings=1; boundary 128: t=1667.68552, crossings=1",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_capital,0.00036363443865639056,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_capability,2.937561939475586e-05,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_consumption,0.00042347665161912573,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_shadow_value,0.0003346853524917037,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_output,0.0004234549006341126,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,log_wage,0.00027258796590601264,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,ai_share,1.6590178175679426e-07,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,automated_research_share,6.15580919571812e-11,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,capital_growth,0.0001705952271384703,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,capability_growth,1.3985816416720032e-05,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=16,consumption_growth,0.00019893099732648523,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_time,event z=32,crossing_time_spread,1.723832565403427e-05,0.02,pass,"boundary 64: t=1668.36058, crossings=1; boundary 128: t=1668.36056, crossings=1",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_capital,0.00029682105811446036,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_capability,2.37342208224689e-05,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_consumption,0.0003454258386739184,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_shadow_value,0.0002715534025625743,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_output,0.00034519555232037646,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,log_wage,0.00022205043817358217,0.002,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,ai_share,1.8214691077655942e-07,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,automated_research_share,5.96198646007906e-11,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,capital_growth,0.000402369515377643,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,capability_growth,2.4758372715205645e-05,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=32,consumption_growth,0.0003738144200955418,0.005,pass,"aligned_window=[-10,0] years; latest outer boundaries=64,128",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_time,event z=64,crossing_time_spread,9.227651844412321e-06,0.02,not_gated,"boundary 64: t=1668.69458, crossings=1; boundary 128: t=1668.69457, crossings=1",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_capital,0.0010455815768111165,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_capability,3.237966021796268e-05,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_consumption,0.00047691919983350317,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_shadow_value,0.00033557844302123385,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_output,0.0010472759657460529,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,log_wage,0.0006978320783304071,0.002,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,ai_share,1.589289330139465e-07,0.005,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,automated_research_share,5.2400972450072913e-11,0.005,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,capital_growth,0.016970677060392347,0.005,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,capability_growth,0.00010650345365303959,0.005,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
event_aligned_window,event z=64,consumption_growth,0.0015902754757917137,0.005,not_gated,"aligned_window=[-10,0] years; latest outer boundaries=64,128; includes a path whose artificial boundary is the event, so this row is diagnostic only",finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,capability_growth_to_output_capital,0.0006675137891272963,,pass,absolute error from target 0.0233190578158,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,inference_share,9.43153974808375e-06,,pass,absolute error from target 0.4489,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,research_resource_share,0.0009080210303366101,,pass,absolute error from target 0.0317209850107,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,investment_share,0.0009174525700821334,,pass,absolute error from target 0.282655246253,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,consumption_share,2.525757381022231e-15,,pass,absolute error from target 0.236723768737,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,shadow_capability_to_capital,7.993605777301127e-15,,pass,absolute error from target 6.80151515152,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,ai_share,1.3983765728031727e-05,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=16,automated_research_share,7.0605743474061455e-12,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,capability_growth_to_output_capital,0.0003612798464239439,,pass,absolute error from target 0.0233190578158,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,inference_share,1.6563069142327969e-06,,pass,absolute error from target 0.4489,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,research_resource_share,0.0004914500698848176,,pass,absolute error from target 0.0317209850107,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,investment_share,0.0004931063768032207,,pass,absolute error from target 0.282655246253,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,consumption_share,4.218847493575595e-15,,pass,absolute error from target 0.236723768737,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,shadow_capability_to_capital,3.9968028886505635e-14,,pass,absolute error from target 6.80151515152,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,ai_share,2.4557303577310563e-06,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=32,automated_research_share,2.1782575743145571e-13,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,capability_growth_to_output_capital,0.0001902488922285485,,pass,absolute error from target 0.0233190578158,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,inference_share,2.9281333413511135e-07,,pass,absolute error from target 0.4489,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,research_resource_share,0.0002587961446111342,,pass,absolute error from target 0.0317209850107,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,investment_share,0.0002590889579410782,,pass,absolute error from target 0.282655246253,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,consumption_share,4.218847493575595e-15,,pass,absolute error from target 0.236723768737,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,shadow_capability_to_capital,7.993605777301127e-15,,pass,absolute error from target 6.80151515152,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,ai_share,4.341406237839962e-07,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=64,automated_research_share,6.8833827526759706e-15,,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,capability_growth_to_output_capital,9.845250792418422e-05,0.005,pass,absolute error from target 0.0233190578158,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,inference_share,5.197020547242914e-08,0.005,pass,absolute error from target 0.4489,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,research_resource_share,0.00013392524487065155,0.005,pass,absolute error from target 0.0317209850107,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,investment_share,0.0001339772150820151,0.005,pass,absolute error from target 0.282655246253,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,consumption_share,5.88418203051333e-15,0.005,pass,absolute error from target 0.236723768737,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,shadow_capability_to_capital,3.9968028886505635e-14,0.005,pass,absolute error from target 6.80151515152,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,ai_share,7.705379145850344e-08,0.005,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_ratio,z=128,automated_research_share,2.220446049250313e-16,0.005,pass,absolute error from target 1,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,capability_growth_to_output_capital,-9.179638430436426e-05,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,inference_share,-2.408431286626822e-07,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,research_resource_share,-0.00012487089974048265,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,investment_share,-0.00012511174285906312,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,consumption_share,1.6653345369377348e-15,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,shadow_capability_to_capital,3.197442310920451e-14,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,ai_share,-3.5708683232549276e-07,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
terminal_asymptotic_convergence,z=64 to z=128,automated_research_share,-6.661338147750939e-15,1e-10,pass,A nonpositive change means the target error did not worsen.,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,boundary_value_spread,0.0,1e-09,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,duration_endpoint_error,0.0,1e-08,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,endpoint_output_capital_log_error,1.3877787807814553e-14,5e-07,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,boundary_sets_match,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,scenario_count,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,time_grid_finite,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,time_grid_unique,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=16,time_grid_strictly_ordered,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,boundary_value_spread,0.0,1e-09,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,duration_endpoint_error,0.0,1e-08,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,endpoint_output_capital_log_error,2.353672812205304e-14,5e-07,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,boundary_sets_match,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,scenario_count,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,time_grid_finite,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,time_grid_unique,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=32,time_grid_strictly_ordered,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,boundary_value_spread,0.0,1e-09,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,duration_endpoint_error,0.0,1e-08,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,endpoint_output_capital_log_error,1.7208456881690075e-14,5e-07,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,boundary_sets_match,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,scenario_count,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,time_grid_finite,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,time_grid_unique,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=64,time_grid_strictly_ordered,1.0,1.0,pass,canonical_file=high_sigma_sigma150_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,boundary_value_spread,0.0,1e-09,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,duration_endpoint_error,0.0,1e-08,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,endpoint_output_capital_log_error,2.731148640577848e-14,5e-07,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,boundary_sets_match,1.0,1.0,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,scenario_count,1.0,1.0,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,time_grid_finite,1.0,1.0,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,time_grid_unique,1.0,1.0,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
canonical_grouping,z=128,time_grid_strictly_ordered,1.0,1.0,pass,canonical_file=high_sigma_sigma150_z128_validated_boundary_paths.csv,finite-boundary approximations to a conditional pre-singular branch; not an infinite-horizon equilibrium
