citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_rewrite,citation_locations_rewrite,cited_in_companion,citation_locations_companion,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified,connection_themes,suggested_sections,terminology,integration_note,reviewed_passages,reviewed_version,reading_status,review_priority,attribution_note
andrewsfarboodi2025,manuscript_bibliography,yes,sections_axm/02_literature.tex:49; sections_axm/03_model.tex:1654,no,,no,,yes,sections_axm/02_literature.tex:49; sections_axm/03_model.tex:1654,no,,techreport,"Andrews, Isaiah and Farboodi, Maryam",Do Markets Believe in Transformative AI?,2025,National Bureau of Economic Research,,34243,,10.3386/w34243,https://www.nber.org/system/files/working_papers/w34243/w34243.pdf,https://www.nber.org/papers/w34243,"The paper studies U.S. bond yields around major frontier-model releases. Long-term Treasury and inflation-protected yields decline around releases interpreted as favorable news about AI progress, providing market evidence that complicates the standard prediction of higher real rates under transformative AI.",editorial_summary,https://www.nber.org/papers/w34243,NBER,official_landing_page,transformative AI; bond yields; TIPS; event study; market expectations,financial-market event study,"Small-sample inference around major frontier AI model releases, separating releases interpreted as favorable news about AI progress.",Long-term nominal and inflation-protected Treasury yields fall around favorable AI releases and remain lower for several weeks.,Provides a direct empirical counterpoint to the model's positive balanced-growth interest-rate response.,"Event-study yield movements combine expectations, term premia, risk, and policy channels and do not identify the net marginal product of capital.",Revised July 2026,2026-09-17,,,,,,,lectura no documentada,,
anthropiceconomicindex2025,manuscript_bibliography,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:176,no,,no,,no,,yes,sections/01_introduction.tex:162; sections/01_introduction.tex:176,techreport,Anthropic,Anthropic Economic Index: Uneven Geographic and Enterprise AI Adoption,2025,Anthropic,,,,,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,"The report analyzes sampled Claude.ai conversations and enterprise API usage to document differences in AI adoption across tasks, regions, and organizations. Its automation taxonomy distinguishes directive interactions from feedback loops and augmentation.",editorial_summary,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,Anthropic,official_landing_page,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
atheyscottmorton2025,manuscript_bibliography,yes,sections_rewrite/02_literature.tex:233,yes,sections_rewrite/02_literature.tex:233,no,,no,,no,,techreport,"Athey, Susan and Scott Morton, Fiona","Artificial Intelligence, Competition, and Welfare",2025,National Bureau of Economic Research,,34444,,10.3386/w34444,https://www.nber.org/papers/w34444,https://doi.org/10.3386/w34444,,unavailable,,manual,manual_doi,,,,,,,,2026-09-17,,,,,3–4,"NBER 34444, Artificial Intelligence, Competition, and Welfare",pasajes originales revisados,,Auditoría del 13-09-2026: Respaldada. Su IA importada y rentas que no se recirculan son relevantes para bienestar. Nuestro hogar posee el desarrollador; no trasladar automáticamente las pérdidas nacionales de su economía importadora a la nuestra. Confianza registrada: High.
autorthompson2025,conversation_addition,no,,no,,no,,no,,no,,article,"Autor, David and Thompson, Neil",Expertise,2025,Journal of the European Economic Association,23,4,1203--1271,10.1093/jeea/jvaf023,https://economics.mit.edu/sites/default/files/2025-06/Autor-Thompson-Expertise-22050620.pdf,https://doi.org/10.1093/jeea/jvaf023,Occupational task-bundling model and evidence on changing expertise requirements. Automation of an occupation's expert versus inexpert tasks can have opposite wage and entry effects.,editorial_summary,https://economics.mit.edu/sites/default/files/2025-06/Autor-Thompson-Expertise-22050620.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; priority-high; Jones2026-reference; expertise; task bundling; wages,theory and/or empirical evidence,Occupational task-bundling model and evidence on changing expertise requirements.,Automation of an occupation's expert versus inexpert tasks can have opposite wage and entry effects.,"Use at the distinction between workers and tasks, or in limitations of a single representative labor input.",Occupational expertise and entry differ from our aggregate AI-labor elasticity; the model does not analyze recursive AI research.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author manuscript June 2025, pp. 2-3 (PDF 3-4); final JEEA metadata verified. JEEA is not one of the conventional top five. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Salarios y participación laboral,Sección 3: trabajadores y tareas,,"Candidato, no añadido al manuscrito. Use at the distinction between workers and tasks, or in limitations of a single representative labor input.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Author manuscript June 2025, pp. 2-3 (PDF 3-4); final JEEA metadata verified. JEEA is not one of the conventional top five. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,alta,
berajazorzi2025,conversation_addition,no,,no,,no,,no,,no,,article,"Beraja, Martin and Zorzi, Nathan",Inefficient Automation,2025,Review of Economic Studies,92,1,69-96,10.1093/restud/rdae019,https://economics.mit.edu/sites/default/files/inline-files/automation_REStud_0.pdf,https://doi.org/10.1093/restud/rdae019,"Dynamic heterogeneous-agent model with endogenous automation, slow labor reallocation and borrowing constraints. Firms can automate excessively because displaced workers cannot fully smooth income losses; slowing automation can improve constrained efficiency.",editorial_summary,https://economics.mit.edu/sites/default/files/inline-files/automation_REStud_0.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-high; transition; borrowing constraints; reallocation; welfare,theory,"Dynamic heterogeneous-agent model with endogenous automation, slow labor reallocation and borrowing constraints.",Firms can automate excessively because displaced workers cannot fully smooth income losses; slowing automation can improve constrained efficiency.,Use to qualify welfare interpretations of rapid RSI transitions and motivate labor-market and financial frictions as extensions.,Our representative household and frictionless labor allocation do not produce their pecuniary externality or establish an optimal automation tax.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Typeset advance-access PDF (2024), pp. 1-3; final issue citation is ReStud 92(1), 2025, pp. 69-96. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Cuellos de botella y transición,Sección 6: transición; conclusiones: reasignación,,"Candidato, no añadido al manuscrito. Use to qualify welfare interpretations of rapid RSI transitions and motivate labor-market and financial frictions as extensions.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Typeset advance-access PDF (2024), pp. 1-3; final issue citation is ReStud 92(1), 2025, pp. 69-96. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,alta,
brynjolfssonhitzig2025,manuscript_bibliography,no,,no,,no,,no,,no,,unpublished,"Brynjolfsson, Erik and Hitzig, Zo\""e",AI's Use of Knowledge in Society,2025,,,,,,https://www.nber.org/books-and-chapters/economics-transformative-ai/ais-use-knowledge-society,https://www.nber.org/books-and-chapters/economics-transformative-ai/ais-use-knowledge-society,,unavailable,,manual,manual_url,,,,,,,Chapter prepared for \emphThe Economics of Transformative AI,2026-09-17,,,,,,,lectura no documentada,,
brynjolfssonliraymond2025,manuscript_bibliography,yes,sections_rewrite/02_literature.tex:102,yes,sections_rewrite/02_literature.tex:102,no,,no,,no,,article,"Brynjolfsson, Erik and Li, Danielle and Raymond, Lindsey",Generative AI at Work,2025,The Quarterly Journal of Economics,140,2,889--942,10.1093/qje/qjae044,https://danielle.li/assets/docs/GenerativeAIatWork.pdf,https://doi.org/10.1093/qje/qjae044,"Access to an AI assistant increases customer-support workers' productivity, with larger gains among less experienced and lower-skilled workers. Workers remain responsible for their conversations; the assistant provides recommendations rather than taking over the whole job.",editorial_summary,https://doi.org/10.1093/qje/qjae044,"Published QJE article, author-hosted PDF",relevant_published_passages_checked,generative AI; worker augmentation; productivity; adoption,worker-level empirical analysis,Analysis of the staggered deployment of an AI assistant to customer-support agents.,The published study reports a 15% average increase in issues resolved per hour; gains differ by worker experience and skill.,"Provides evidence that firms can adopt AI to assist workers, without inferring displacement from adoption alone.","It does not identify the aggregate AI--labor elasticity, aggregate employment and wage effects, or the AI-revenue/GDP ratio.","Targeted attribution check: published pp. 889--893, September 16, 2026. The 15% figure is from the final published version, not the earlier working paper. See audit/ai_revenue_complementarity_2026-09-16.md.",2026-09-17,Ingresos de IA y complementariedad; Medición y calibración,"Sección 6.3 y conclusiones: sector de IA, productividad y medición",generative AI; AI assistant; productivity,"Mayor revenue/PIB no identifica por sí solo la elasticidad IA-trabajo. No equiparar ingresos del sector, valor añadido y beneficios de sus propietarios.","QJE 2025, pp. 889–893 (PDF 1–5); auditoría del 16-09-2026.",,pasajes originales revisados,alta,
carnehlschneider2025,conversation_addition,no,,no,,no,,no,,no,,article,"Carnehl, Christoph and Schneider, Johannes",A Quest for Knowledge,2025,Econometrica,93,2,623-659,10.3982/ECTA22144,https://www.econometricsociety.org/publications/econometrica/2025/03/01/A-Quest-for-Knowledge/file/ecta200746.pdf,https://doi.org/10.3982/ECTA22144,Microfounded model of research-question selection and effort conditional on accumulated knowledge. Research novelty and effort are jointly chosen; distant discoveries can create dynamic benefits for subsequent research.,editorial_summary,https://www.econometricsociety.org/publications/econometrica/2025/03/01/A-Quest-for-Knowledge/file/ecta200746.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-medium; endogenous research; research direction; knowledge,theory,Microfounded model of research-question selection and effort conditional on accumulated knowledge.,Research novelty and effort are jointly chosen; distant discoveries can create dynamic benefits for subsequent research.,Use as a broader antecedent for endogenous research choices and a possible extension beyond a scalar efficiency stock.,"Not an AI model, not compute-based RSI, and not a justification for our specific accumulation law.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published Econometrica PDF, pp. 625-626 (PDF 3-4). This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Investigación endógena e incentivos,Sección 3: investigación; futuras extensiones,,"Candidato, no añadido al manuscrito. Use as a broader antecedent for endogenous research choices and a possible extension beyond a scalar efficiency stock.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published Econometrica PDF, pp. 625-626 (PDF 3-4). This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,complementaria,
cloudflareradar2025,manuscript_bibliography,yes,sections/01_introduction.tex:195,no,,no,,no,,yes,sections/01_introduction.tex:195,misc,Cloudflare,The 2025 Cloudflare Radar Year in Review,2025,Cloudflare Radar,,,,,https://blog.cloudflare.com/radar-2025-year-in-review/,https://blog.cloudflare.com/radar-2025-year-in-review/,"Cloudflare's annual review summarizes changes in internet traffic, security, outages, and automated crawling during 2025. Its traffic measures count network requests and therefore should not be interpreted as measures of employment, task displacement, or economic value added.",editorial_summary,https://blog.cloudflare.com/radar-2025-year-in-review/,Cloudflare Radar,official_landing_page,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
coylepoquiz2025,manuscript_bibliography,yes,sections_rewrite/02_literature.tex:210,yes,sections_rewrite/02_literature.tex:210,no,,no,,no,,techreport,"Coyle, Diane and Poquiz, John Lourenze S.",Making AI Count: The Next Measurement Frontier,2025,National Bureau of Economic Research,,34330,,10.3386/w34330,https://www.nber.org/papers/w34330,https://doi.org/10.3386/w34330,,unavailable,,manual,manual_doi,,,,,,,,2026-09-17,,,,,3–5,NBER 34330,pasajes originales revisados,,Auditoría del 13-09-2026: Respaldada. El artículo explica por qué las clasificaciones y matrices insumo-producto pueden mostrar tarde la transformación. No suministra una serie observada de nuestra eficiencia B ni una estimación de omega_X. Confianza registrada: High.
demireretal2025,manuscript_bibliography,yes,sections/02_literature.tex:87; sections/02_literature.tex:101; sections/03_toy_model.tex:170; sections_axm/02_literature.tex:100; sections_axm/03_model.tex:410; sections_rewrite/02_literature.tex:239; sections_rewrite/03_model.tex:301,yes,sections_rewrite/02_literature.tex:239; sections_rewrite/03_model.tex:301,no,,yes,sections_axm/02_literature.tex:100; sections_axm/03_model.tex:410,yes,sections/02_literature.tex:87; sections/02_literature.tex:101; sections/03_toy_model.tex:170,techreport,"Demirer, Mert and Fradkin, Andrey and Tadelis, Nadav and Peng, Sida","The Emerging Market for Intelligence: Pricing, Supply, and Demand for LLMs",2025,National Bureau of Economic Research,,34608,,10.3386/w34608,https://www.nber.org/system/files/working_papers/w34608/w34608.pdf,https://www.nber.org/papers/w34608,"Using API usage data from OpenRouter and Microsoft Azure, the paper documents rapid entry by models and providers, substantial price declines, persistent price dispersion within quality tiers, and frequent turnover among market leaders. It also finds horizontal and vertical differentiation across applications, preliminary short-run price elasticities slightly above one, and increasing experimentation with multiple models even though most firms concentrate usage in a single model.",editorial_summary,https://www.nber.org/papers/w34608,NBER,official_landing_page,,,,,,,,2026-09-17,,,,,2–4,"NBER 34608, diciembre de 2025",pasajes originales revisados,,"Auditoría del 13-09-2026: Respaldada. La evidencia procede de APIs de OpenRouter y Azure, no de todo uso mundial de IA. La cautela frente al monopolio es nuestra inferencia de esa evidencia, no un teorema del artículo. Confianza registrada: High."
erdiletal2025gate,manuscript_bibliography,yes,sections_axm/01_introduction.tex:157; sections_axm/02_literature.tex:34; sections_rewrite/02_literature.tex:26; sections_rewrite/06_conclusion.tex:61; sections_rewrite/08_rsi_activation.tex:51; sections_rewrite/08_rsi_design.tex:37; sections_rewrite/11_rsi_limitations.tex:30,yes,sections_rewrite/02_literature.tex:26; sections_rewrite/06_conclusion.tex:61; sections_rewrite/08_rsi_activation.tex:51; sections_rewrite/08_rsi_design.tex:37; sections_rewrite/11_rsi_limitations.tex:30,no,,yes,sections_axm/01_introduction.tex:157; sections_axm/02_literature.tex:34,no,,misc,"Erdil, Ege and Potlogea, Andrei and Besiroglu, Tamay and Roldan, Edu and Ho, Anson and Sevilla, Jaime and Barnett, Matthew and Vrzla, Matej and Sandler, Robert",GATE: An Integrated Assessment Model for AI Automation,2025,arXiv:2503.04941,,,,10.48550/arXiv.2503.04941,https://arxiv.org/pdf/2503.04941,https://arxiv.org/abs/2503.04941,"Assessing the economic impacts of artificial intelligence requires integrating insights from both computer science and economics. We present the Growth and AI Transition Endogenous model (GATE), a dynamic integrated assessment model that simulates the economic effects of AI automation. GATE combines three key ingredients that have not been brought together in previous work: (1) a compute-based model of AI development, (2) an AI automation framework, and (3) a semi-endogenous growth model featuring endogenous investment and adjustment costs. The model allows users to simulate the economic effects of the transition to advanced AI across a range of potential scenarios. GATE captures the interactions between economic variables, including investment, automation, innovation, and growth, as well as AI-related inputs such as compute and algorithms. This paper explains the model's structure and functionality, emphasizing AI development for economists and economic modeling for the AI community. The model is implemented in an interactive sandbox, enabling users to explore the impact of AI under different parameter choices and policy interventions.",source_abstract,https://arxiv.org/abs/2503.04941,arXiv,original_relevant_passages_reviewed,AI automation; compute; endogenous growth; investment; integrated assessment,quantitative scenario model,"Modelo integrado con un planificador que elige inversión y asignación de cómputo; incorpora desarrollo de IA, automatización y costes de ajuste.","The framework jointly simulates AI development, automation, investment, innovation, and aggregate growth across alternative scenarios.","Main quantitative comparator for models that integrate compute, automation, investment, and growth.","Su planificador, incluso con cuñas para externalidades, no es nuestro monopolista descentralizado. Los costes de ajuste y el entrenamiento explícito no están en nuestro benchmark.",,2026-09-17,Cómputo e investigación; Feedback tecnológico; Feedback económico; Investigación endógena e incentivos; Cuellos de botella y transición,Sección 3: cómputo; sección 6: mecanismos y límites de la transición,training compute; inference compute; training-inference trade-off; adjustment costs,Antecedente de inversión y asignación endógenas: no presentar esas características generales como exclusivas de nuestro modelo.,"Original de 85 páginas: sección 3.2, pp. 13–15; secciones 3.6 y 5.1; apéndice C, pp. 65–67.","GATE, PDF de arXiv, 85 páginas",pasajes originales revisados,alta,Auditoría del 13-09-2026: Respaldada. El apéndice C enumera las decisiones. El módulo de externalidades introduce un planificador que infravalora retornos mediante cuñas; no es la solución del monopolista privado de nuestro modelo. No afirmar que GATE carece de inversión endógena. Confianza registrada: High.
pwt110,manuscript_bibliography,yes,sections_axm/04_growth_regimes.tex:139; sections_companion/04_calibration.tex:22; sections_rewrite/05_quantitative_equilibria.tex:38; sections_rewrite/08_rsi_activation.tex:32; sections_rewrite/08_rsi_design.tex:24,yes,sections_rewrite/05_quantitative_equilibria.tex:38; sections_rewrite/08_rsi_activation.tex:32; sections_rewrite/08_rsi_design.tex:24,yes,sections_companion/04_calibration.tex:22,yes,sections_axm/04_growth_regimes.tex:139,no,,misc,"Feenstra, Robert C. and Inklaar, Robert and Timmer, Marcel P.",Penn World Table Version 11.0,2025,Groningen Growth and Development Centre,,,,10.34894/FABVLR,https://doi.org/10.34894/FABVLR,https://doi.org/10.34894/FABVLR,,unavailable,,manual,manual_doi,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
oecdaiinvestment2025,manuscript_bibliography,yes,sections_axm/04_growth_regimes.tex:143; sections_axm/04_growth_regimes.tex:183; sections_companion/04_calibration.tex:63; sections_rewrite/05_quantitative_equilibria.tex:69,yes,sections_rewrite/05_quantitative_equilibria.tex:69,yes,sections_companion/04_calibration.tex:63,yes,sections_axm/04_growth_regimes.tex:143; sections_axm/04_growth_regimes.tex:183,no,,techreport,"Fonteneau, Fran\ccois and Mollins, Jeff and Marchi, Sara and Russo, Lucia and Gentaz, Ang\'elina and Daoud, Melhem and Andr\'e, Antoine-Alexandre",Advancing the Measurement of Investments in Artificial Intelligence,2025,OECD Publishing,,47,,10.1787/13e0da2f-en,https://doi.org/10.1787/13e0da2f-en,https://doi.org/10.1787/13e0da2f-en,,unavailable,,manual,manual_doi,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
gans2025aiknowledge,manuscript_bibliography,yes,sections_rewrite/02_literature.tex:91,yes,sections_rewrite/02_literature.tex:91,no,,no,,no,,techreport,"Gans, Joshua S.",Growth in AI Knowledge,2025,National Bureau of Economic Research,,33907,,10.3386/w33907,https://www.nber.org/system/files/working_papers/w33907/w33907.pdf,https://www.nber.org/papers/w33907,"How does artificial intelligence affect the creation of new knowledge and long-run economic growth? This paper develops a general equilibrium model where AI enhances decision-making by interpolating between existing knowledge points. AI's impact on growth depends on a critical threshold in its capabilities: a modest interpolation range encourages incremental research and raises growth, whereas an extensive range promotes exploratory research that can reduce knowledge density and slow growth.",source_abstract,https://www.nber.org/papers/w33907,NBER,official_landing_page,AI knowledge; research direction; capability threshold; market structure; economic growth,theory,General equilibrium model in which AI interpolates between knowledge points and changes incentives for incremental and exploratory research.,"AI capabilities generate a threshold between research regimes, and market structure changes the associated growth and welfare effects.",Provides a precedent for capability thresholds while clarifying that the current paper's threshold concerns production substitution and AI efficiency rather than research direction.,Its threshold does not separate labor-bottleneck from AI-dominated production and does not deliver the current paper's output-wage growth wedge.,,2026-09-17,Investigación endógena e incentivos; Feedback tecnológico,Sección 3: antecedentes de investigación; sección 4: comparación de umbrales,AI knowledge; interpolation; incremental research; exploratory research,"Su umbral cambia la dirección de investigación, no separa nuestros regímenes productivos.","NBER w33907, PDF pp. 3–5.","NBER 33907, Growth in AI Knowledge",pasajes originales revisados,alta,"Auditoría del 13-09-2026: Respaldada. El umbral se refiere a cobertura/precisión e incentivos para investigar en el espacio de conocimiento, no a reemplazar trabajo en producción final. El texto actual distingue correctamente ambos umbrales. Confianza registrada: High."
gersbachetal2025,manuscript_bibliography,yes,sections_rewrite/02_literature.tex:18,yes,sections_rewrite/02_literature.tex:18,no,,no,,no,,article,"Gersbach, Hans and Komarov, Evgenij and von Maydell, Richard",Artificial Intelligence as Self-Learning Capital,2025,Economic Modelling,153,,107221,10.1016/j.econmod.2025.107221,https://doi.org/10.1016/j.econmod.2025.107221,https://doi.org/10.1016/j.econmod.2025.107221,,unavailable,,manual,manual_doi,,,,,,,,2026-09-17,,,,,No verificadas en texto completo,"Economic Modelling 153, 107221 (2025); existe antecedente CEPR 17221 (2022)",texto completo pendiente,,Auditoría del 13-09-2026: Pendiente: acceso. El repositorio ETH identifica el PDF publicado pero la descarga falla; CEPR tampoco permitió recuperar el texto. No certifico la parte específica sobre asignación de trabajo a partir del resumen. Confianza registrada: Low.
howhitfill2025experiments,conversation_addition,no,,no,,no,,no,,no,,misc,"Ho, Anson and Whitfill, Parker",The Software Intelligence Explosion Debate Needs Experiments,2025,"Epoch AI, Gradient Updates",,,,,https://epoch.ai/gradient-updates/the-software-intelligence-explosion-debate-needs-experiments,https://epoch.ai/gradient-updates/the-software-intelligence-explosion-debate-needs-experiments,,unavailable,,"Bibliografía original de Davidson et al., mayo de 2026, pp. 44–46; metadatos de fuente primaria cuando están disponibles.",bibliographic_inventory_fulltext_pending,Davidson-reference-2026; inventory-completion; lectura-pendiente,research commentary,,,,,Distinguir cómputo para experimentos de ejecutar investigadores IA; revisar el argumento completo antes de trasladar una restricción tecnológica.,2026-09-17,Crecimiento hiperbólico y singularidades,Candidato de contexto; no insertar sin lectura y aprobación,,Inventario completo de antecedentes de Davidson; no añadido al manuscrito.,,,texto completo pendiente,pendiente,
hemousetal2025induced,conversation_addition,no,,no,,no,,no,,no,,article,"Hémous, David and Olsen, Morten and Zanella, Carlo and Dechezleprêtre, Antoine",Induced Automation Innovation: Evidence from Firm-Level Patent Data,2025,Journal of Political Economy,133,6,1975-2028,10.1086/734778,https://www.lse.ac.uk/CFM/assets/pdf/DHOZ-induced-automation.pdf,https://doi.org/10.1086/734778,"Firm-level machinery-patent classification, international wage exposure, and policy-induced labor-cost changes. Higher low-skill labor costs induce more automation innovation; the evidence distinguishes innovation from adopting existing equipment.",editorial_summary,https://www.lse.ac.uk/CFM/assets/pdf/DHOZ-induced-automation.pdf,"Publisher metadata/Crossref; author or institutional full text, review 2026-09-16",original_relevant_passages_reviewed,Jones-top5-2026; top5-2022-2026; priority-high; endogenous innovation; wages; research incentives; patents,theory and/or empirical evidence,"Firm-level machinery-patent classification, international wage exposure, and policy-induced labor-cost changes.",Higher low-skill labor costs induce more automation innovation; the evidence distinguishes innovation from adopting existing equipment.,Strong empirical motivation for making technology development respond to economic incentives rather than imposing an exogenous AI trajectory.,Machinery patents are not autonomous AI research; the estimated wage elasticity does not identify our research productivity or RSI elasticity.,"Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published JPE HTML, sections I-II, and August 2022 predecessor PDF pp. 2-4 (PDF 3-5). Published author order and title differ from the predecessor. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",2026-09-17,Límites y extensiones,Conclusiones: límites y futuras extensiones,,"Candidato, no añadido al manuscrito. Strong empirical motivation for making technology development respond to economic incentives rather than imposing an exogenous AI trajectory.","Candidate for paragraph-by-paragraph integration; not added to the manuscript. Review: Published JPE HTML, sections I-II, and August 2022 predecessor PDF pp. 2-4 (PDF 3-5). Published author order and title differ from the predecessor. This is a targeted reading, not a full audit of every proof, estimate or subsequent version.",,pasajes originales revisados,alta,
idetalamas2025,conversation_addition,no,,no,,no,,no,,no,,article,"Ide, Enrique and Talamàs, Eduard",Artificial Intelligence in the Knowledge Economy,2025,Journal of Political Economy,133,12,3762--3800,10.1086/737233,https://www.journals.uchicago.edu/doi/pdf/10.1086/737233,https://www.journals.uchicago.edu/doi/abs/10.1086/737233,The paper studies how AI agents reshape hierarchical organizations built around differences in human knowledge. Compute can create either autonomous agents that solve problems independently or nonautonomous agents that assist people. These two forms of AI change organizational structure and distribute gains differently across the knowledge hierarchy.,editorial_summary,https://www.journals.uchicago.edu/doi/abs/10.1086/737233,University of Chicago Press,official_landing_page,artificial intelligence; knowledge economy; compute; AI agents; organization; labor income,theory,Competitive equilibrium model of knowledge hierarchies in which exogenous compute is converted into autonomous or nonautonomous AI agents.,AI autonomy changes organizational structure and the distribution of gains across human knowledge types; compute has an endogenous rental price but fixed aggregate supply.,Closest precedent for treating compute as a rival input that produces scalable AI agents while preserving an explicit market price.,"The model is static, has exogenous compute and zero economic profit, and does not include training or research feedback.",Concise editorial synopsis of the official abstract; it is not author-written text.,2026-09-17,,,,,,,lectura no documentada,,
iea2025,manuscript_bibliography,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145; sections_axm/01_introduction.tex:67; sections_axm/01_introduction.tex:74,no,,no,,yes,sections_axm/01_introduction.tex:67; sections_axm/01_introduction.tex:74,yes,sections/01_introduction.tex:126; sections/01_introduction.tex:145,techreport,International Energy Agency,Energy and AI,2025,International Energy Agency,,,,,https://www.iea.org/reports/energy-and-ai,https://www.iea.org/reports/energy-and-ai,"The report studies the electricity required by data centers and artificial intelligence, the geographic concentration of demand, the scope for efficiency improvements, and the ways in which AI could also transform energy production and consumption.",editorial_summary,https://www.iea.org/reports/energy-and-ai,International Energy Agency,official_landing_page,,,,,,,,2026-09-17,,,,,,,lectura no documentada,,
jones2025rd,manuscript_bibliography,yes,sections/02_literature.tex:42; sections/02_literature.tex:127; sections/04_task_extension.tex:14; sections_axm/02_literature.tex:33; sections_rewrite/02_literature.tex:53,yes,sections_rewrite/02_literature.tex:53,no,,yes,sections_axm/02_literature.tex:33,yes,sections/02_literature.tex:42; sections/02_literature.tex:127; sections/04_task_extension.tex:14,techreport,"Jones, Benjamin F.",Artificial Intelligence in Research and Development,2025,National Bureau of Economic Research,,34312,,10.3386/w34312,https://www.nber.org/papers/w34312,https://doi.org/10.3386/w34312,"How much can AI accelerate progress in different research fields?This paper shows that three features-the share of research tasks AI performs, the productivity of AI at those tasks, and the strength of bottlenecks-are key determinants of AI's implications in any area, from cancer therapeutics to software design.The model maps changes in AI capabilities to research outcomes, quantifies the ""marginal returns to intelligence,"" and shows how AI can shift returns to R&D investment.Concepts like superintelligence, Powerful AI, and Transformative AI are further engaged and disciplined.Finally, the framework sets a measurement agenda linking AI benchmarks to field-specific opportunities for accelerating progress.",openalex_indexed_abstract,https://openalex.org/W4414867103,OpenAlex,original_relevant_passages_reviewed,,theory,Modelo de asignación de un presupuesto de I+D dado entre tareas de investigación realizadas por humanos y máquinas.,"El efecto de la IA depende de la cobertura de tareas, su productividad en cada tarea y las complementariedades que generan cuellos de botella.",Antecedente para distinguir automatizar investigación de eliminar todos sus cuellos de botella.,Optimizar un presupuesto dado no es determinar en equilibrio general el volumen total de inversión de nuestro desarrollador.,,2026-09-17,Cuellos de botella y transición; Cómputo e investigación; Investigación endógena e incentivos,Sección 3: investigación y alcance del benchmark; sección 4: cuellos de botella,research tasks; bottlenecks; marginal return to intelligence,El título correcto es Artificial Intelligence in Research and Development.,NBER w34312: PDF pp. 1 y 3–5.,"NBER 34312, octubre de 2025",pasajes originales revisados,alta,Auditoría del 13-09-2026: Respaldada. El título correcto es Artificial Intelligence in Research and Development. El artículo asigna un presupuesto dado de investigación; no elige mediante nuestro equilibrio general cuánto gastar en total. Confianza registrada: High.
